WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1335,1570,99989,99990,True,111.0,White,1-0
1292,1454,-422,-425,True,45.0,White,0-1
1323,1463,-439,-410,True,93.0,White,0-1
1304,1190,722,734,False,27.0,White,1-0
1225,1502,99990,1314,False,63.0,White,1-0
1281,1378,214,87,True,11.0,White,0-1
1263,1443,99998,99999,True,63.0,White,1-0
1245,1212,99995,99994,False,33.0,White,1-0
1224,1422,-381,-397,True,79.0,White,0-1
1199,1203,632,578,True,45.0,White,1-0
1203,1373,111,44,True,13.0,White,1-0
1307,1314,-368,-591,False,17.0,White,0-1
1210,1512,578,458,True,31.0,White,0-1
1223,1443,-265,-273,False,21.0,White,0-1
1245,1402,327,226,False,15.0,White,0-1
1221,1362,404,232,False,33.0,White,1-0
1227,1445,-89,-505,False,23.0,White,0-1
1235,1500,550,390,False,31.0,White,0-1
1223,1454,251,164,True,21.0,White,1-0
1230,1430,-675,-721,True,57.0,White,0-1
1216,1516,-574,-99988,False,59.0,White,0-1
1175,1538,371,377,False,17.0,White,0-1
1220,1495,-359,-371,True,43.0,White,0-1
1183,1627,382,-438,True,19.0,White,0-1
1211,1546,273,291,True,27.0,White,0-1
1446,1163,666,535,False,25.0,White,1-0
