WhiteElo,BlackElo,pre_eval,post_eval,queen_trade_made,first_queen_trade,my_color,result
1308,1272,-11,-99998,True,70.0,Black,1-0
1232,1266,93,95,True,44.0,Black,0-1
1444,1260,144,123,False,42.0,Black,0-1
1247,1176,121,104,True,26.0,Black,0-1
1287,1285,65,-207,False,24.0,Black,1-0
1517,1275,933,875,True,38.0,Black,0-1
1239,1289,20,-215,True,44.0,Black,1-0
1571,1289,-286,-313,False,32.0,Black,1-0
1431,1312,-640,-882,True,42.0,Black,1-0
1500,1328,21,21,True,24.0,Black,1-0
1500,1328,-19,-94,False,36.0,Black,0-1
1500,1328,321,168,False,16.0,Black,0-1
1366,1339,154,179,True,18.0,Black,1-0
1239,1233,147,116,False,30.0,Black,1-0
1453,1255,329,343,False,52.0,Black,1-0
1441,1287,-607,-664,False,24.0,Black,1-0
1484,1282,-26,-37,True,32.0,Black,1-0
1454,1305,145,129,True,20.0,Black,1-0
1384,1342,333,245,False,28.0,Black,1-0
1550,1298,14,3,False,16.0,Black,1-0
1470,1303,-552,-633,True,54.0,Black,1-0
1309,1285,283,265,True,18.0,Black,0-1
1324,1289,99998,99999,True,32.0,Black,0-1
1433,1300,-657,-672,True,62.0,Black,1-0
1401,1248,-333,-99996,True,60.0,Black,1-0
1428,1237,509,518,True,52.0,Black,0-1
1507,1279,806,698,False,30.0,Black,0-1
1295,1273,52,15,True,42.0,Black,1-0
1371,1248,556,559,True,66.0,Black,0-1
1330,1182,561,534,True,60.0,Black,0-1
1402,1214,-29,-34,True,28.0,Black,1-0
1500,1200,17,-39,False,6.0,Black,0-1
1500,1192,1367,1369,True,44.0,Black,0-1
1500,1221,105,-417,True,68.0,Black,1-0
1322,1221,-407,-399,True,22.0,Black,0-1
1210,1216,277,209,False,10.0,Black,0-1
1429,1225,-25,-32,True,8.0,Black,0-1
1445,1227,403,423,True,34.0,Black,1-0
1348,1236,105,-162,False,20.0,Black,1-0
1500,1231,-509,-536,True,56.0,Black,1-0
